task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,self_passed,code_len,answer_len,actual_local_tokens
3017,early_defer,defer,0.999175,0.000825,7.0996,0.999433,0.000567,7.4746,0.999175,0.000825,7.0996,0,1236,260,260
3018,early_defer,defer,0.999501,0.000499,7.6016,0.999687,0.000313,8.0703,0.999501,0.000499,7.6016,0,1226,257,257
3019,early_defer,defer,0.992214,0.007786,4.8477,0.996604,0.003396,5.6816,0.992214,0.007786,4.8477,0,729,196,196
3020,early_defer,defer,0.933309,0.066691,2.6387,0.996882,0.003118,5.7676,0.933309,0.066691,2.6387,1,808,157,157
3021,early_defer,defer,0.996931,0.003069,5.7832,0.99865,0.00135,6.6064,0.996931,0.003069,5.7832,0,888,182,182
3022,early_defer,defer,0.969613,0.030387,3.4629,0.99811,0.00189,6.2695,0.969613,0.030387,3.4629,0,504,137,137
3023,early_defer,defer,0.967839,0.032161,3.4043,0.997809,0.002191,6.1211,0.967839,0.032161,3.4043,0,504,137,137
3024,early_defer,defer,0.997851,0.002149,6.1406,0.999529,0.000471,7.6592,0.997851,0.002149,6.1406,0,447,127,127
3025,early_defer,defer,0.798187,0.201813,1.375,0.934395,0.065605,2.6562,0.798187,0.201813,1.375,0,404,96,96
3026,early_defer,defer,0.834946,0.165054,1.6211,0.951504,0.048496,2.9766,0.834946,0.165054,1.6211,0,404,96,96
3027,early_defer,defer,0.953449,0.046551,3.0195,0.995018,0.004982,5.2969,0.953449,0.046551,3.0195,0,873,199,199
3028,early_defer,defer,0.95877,0.04123,3.1465,0.995309,0.004691,5.3574,0.95877,0.04123,3.1465,0,868,193,193
3029,post_self,self,0.350421,0.649579,-0.6172,0.012384,0.987616,-4.3789,0.012384,0.987616,-4.3789,0,511,112,112
3030,early_defer,defer,0.937096,0.062904,2.7012,0.882225,0.117775,2.0137,0.937096,0.062904,2.7012,0,422,148,148
3031,early_defer,defer,0.999613,0.000387,7.8574,0.999859,0.000141,8.8672,0.999613,0.000387,7.8574,0,631,146,146
3032,early_defer,defer,0.989286,0.010714,4.5254,0.995404,0.004596,5.3779,0.989286,0.010714,4.5254,0,1088,295,295
3033,early_defer,defer,0.992319,0.007681,4.8613,0.996948,0.003052,5.7891,0.992319,0.007681,4.8613,0,475,137,137
3034,early_defer,defer,0.853913,0.146087,1.7656,0.991756,0.008244,4.79,0.853913,0.146087,1.7656,0,562,142,142
3035,early_defer,defer,0.998949,0.001051,6.8574,0.999281,0.000719,7.2363,0.998949,0.001051,6.8574,0,482,106,106
3036,early_defer,defer,0.905155,0.094845,2.2559,0.933673,0.066327,2.6445,0.905155,0.094845,2.2559,0,983,201,201
3037,early_defer,defer,0.99311,0.00689,4.9707,0.997337,0.002663,5.9258,0.99311,0.00689,4.9707,0,918,275,275
3038,post_self,self,0.377541,0.622459,-0.5,0.067608,0.932392,-2.624,0.067608,0.932392,-2.624,1,747,186,186
3039,post_self,self,0.470737,0.529263,-0.1172,0.020264,0.979736,-3.8784,0.020264,0.979736,-3.8784,1,340,90,90
3040,early_defer,defer,0.980167,0.019833,3.9004,0.996972,0.003028,5.7969,0.980167,0.019833,3.9004,0,708,179,179
3041,early_defer,defer,0.993612,0.006388,5.0469,0.999142,0.000858,7.0605,0.993612,0.006388,5.0469,0,746,155,155
3042,early_defer,defer,0.755637,0.244363,1.1289,0.940681,0.059319,2.7637,0.755637,0.244363,1.1289,0,577,146,146
3043,early_defer,defer,0.933431,0.066569,2.6406,0.924959,0.075041,2.5117,0.933431,0.066569,2.6406,0,896,184,184
3044,early_defer,defer,0.779322,0.220678,1.2617,0.94743,0.05257,2.8916,0.779322,0.220678,1.2617,0,432,102,102
3045,early_defer,defer,0.993029,0.006971,4.959,0.993728,0.006272,5.0654,0.993029,0.006971,4.959,0,1276,286,286
