task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,self_passed,reasoning_len,answer_len,actual_local_tokens
hendrycks_math/test/000000,post_self,self,0.245085,0.754915,-1.125,0.411111,0.588889,-0.3594,0.411111,0.588889,-0.3594,0,258,77,77
hendrycks_math/test/000001,post_self,self,0.062789,0.937211,-2.7031,0.005843,0.994157,-5.1367,0.005843,0.994157,-5.1367,1,131,58,58
hendrycks_math/test/000002,early_defer,defer,0.607663,0.392337,0.4375,0.874077,0.125923,1.9375,0.607663,0.392337,0.4375,1,1199,456,456
hendrycks_math/test/000003,post_defer,defer,0.362969,0.637031,-0.5625,0.546738,0.453262,0.1875,0.546738,0.453262,0.1875,0,333,172,172
hendrycks_math/test/000004,post_self,self,0.119203,0.880797,-2.0,0.014172,0.985828,-4.2422,0.014172,0.985828,-4.2422,1,303,113,113
hendrycks_math/test/000005,post_self,self,0.106691,0.893309,-2.125,0.086323,0.913677,-2.3594,0.086323,0.913677,-2.3594,1,270,81,81
hendrycks_math/test/000006,post_defer,defer,0.48438,0.51562,-0.0625,0.800692,0.199308,1.3906,0.800692,0.199308,1.3906,0,880,318,318
hendrycks_math/test/000007,post_self,self,0.164516,0.835484,-1.625,0.256832,0.743168,-1.0625,0.256832,0.743168,-1.0625,0,215,98,98
hendrycks_math/test/000008,early_defer,defer,0.966914,0.033086,3.375,0.882428,0.117572,2.0156,0.966914,0.033086,3.375,0,631,282,282
hendrycks_math/test/000009,post_self,self,0.27513,0.72487,-0.9688,0.201813,0.798187,-1.375,0.201813,0.798187,-1.375,0,353,148,148
hendrycks_math/test/000010,post_self,self,0.152032,0.847968,-1.7188,0.09947,0.90053,-2.2031,0.09947,0.90053,-2.2031,0,330,151,151
hendrycks_math/test/000011,early_defer,defer,0.835484,0.164516,1.625,0.995914,0.004086,5.4961,0.835484,0.164516,1.625,0,393,122,122
hendrycks_math/test/000012,post_self,self,0.182426,0.817574,-1.5,0.001112,0.998888,-6.8008,0.001112,0.998888,-6.8008,1,142,52,52
hendrycks_math/test/000013,post_self,self,0.080357,0.919643,-2.4375,0.00629,0.99371,-5.0625,0.00629,0.99371,-5.0625,1,281,82,82
hendrycks_math/test/000014,early_defer,defer,0.851953,0.148047,1.75,0.731059,0.268941,1.0,0.851953,0.148047,1.75,1,906,335,335
hendrycks_math/test/000015,post_defer,defer,0.392337,0.607663,-0.4375,0.887205,0.112795,2.0625,0.887205,0.112795,2.0625,0,231,112,112
hendrycks_math/test/000016,post_self,self,0.035679,0.964321,-3.2969,0.001501,0.998499,-6.5,0.001501,0.998499,-6.5,1,139,53,53
hendrycks_math/test/000017,early_defer,defer,0.644225,0.355775,0.5938,0.975012,0.024988,3.6641,0.644225,0.355775,0.5938,0,797,294,294
hendrycks_math/test/000018,early_defer,defer,0.692642,0.307358,0.8125,0.955319,0.044681,3.0625,0.692642,0.307358,0.8125,0,535,176,176
hendrycks_math/test/000019,post_self,self,0.08389,0.91611,-2.3906,0.005512,0.994488,-5.1953,0.005512,0.994488,-5.1953,1,377,97,97
hendrycks_math/test/000020,early_defer,defer,0.933431,0.066569,2.6406,0.947381,0.052619,2.8906,0.933431,0.066569,2.6406,0,838,395,395
