task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,self_passed,reasoning_len,answer_len,actual_local_tokens
hendrycks_math/test/000000,post_self,self,0.027585,0.972415,-3.5625,0.00386,0.99614,-5.5532,0.00386,0.99614,-5.5532,1,1179,314,314
hendrycks_math/test/000001,post_self,self,0.009413,0.990587,-4.6562,0.001541,0.998459,-6.4736,0.001541,0.998459,-6.4736,1,508,243,243
hendrycks_math/test/000002,post_self,self,0.239349,0.760651,-1.1562,0.016498,0.983502,-4.0879,0.016498,0.983502,-4.0879,1,1840,814,814
hendrycks_math/test/000003,post_self,self,0.046034,0.953966,-3.0312,0.064653,0.935347,-2.6719,0.064653,0.935347,-2.6719,1,939,419,419
hendrycks_math/test/000004,post_self,self,0.001455,0.998545,-6.5312,0.000103,0.999897,-9.1768,0.000103,0.999897,-9.1768,1,469,163,163
hendrycks_math/test/000005,post_self,self,0.019124,0.980876,-3.9375,0.001002,0.998998,-6.9043,0.001002,0.998998,-6.9043,1,556,222,222
hendrycks_math/test/000006,post_self,self,0.187133,0.812867,-1.4688,0.053108,0.946892,-2.8809,0.053108,0.946892,-2.8809,1,1373,599,599
hendrycks_math/test/000007,post_self,self,0.03622,0.96378,-3.2812,0.007938,0.992062,-4.8281,0.007938,0.992062,-4.8281,1,922,307,307
hendrycks_math/test/000008,early_defer,defer,0.859664,0.140336,1.8125,0.95561,0.04439,3.0693,0.859664,0.140336,1.8125,0,2149,974,974
hendrycks_math/test/000009,post_self,self,0.022286,0.977714,-3.7812,0.004078,0.995922,-5.498,0.004078,0.995922,-5.498,1,988,421,421
hendrycks_math/test/000010,post_self,self,0.025957,0.974043,-3.625,0.01085,0.98915,-4.5127,0.01085,0.98915,-4.5127,1,667,303,303
hendrycks_math/test/000011,early_defer,defer,0.531209,0.468791,0.125,0.867485,0.132515,1.8789,0.531209,0.468791,0.125,0,1513,607,607
hendrycks_math/test/000012,post_self,self,0.007346,0.992654,-4.9062,0.000323,0.999677,-8.0385,0.000323,0.999677,-8.0385,1,524,233,233
hendrycks_math/test/000013,post_self,self,0.004755,0.995245,-5.3438,0.000368,0.999632,-7.9067,0.000368,0.999632,-7.9067,1,584,239,239
hendrycks_math/test/000014,early_defer,defer,0.531209,0.468791,0.125,0.245085,0.754915,-1.125,0.531209,0.468791,0.125,1,2333,958,958
hendrycks_math/test/000015,post_self,self,0.341582,0.658418,-0.6562,0.010792,0.989208,-4.5181,0.010792,0.989208,-4.5181,1,977,412,412
hendrycks_math/test/000016,post_self,self,0.005385,0.994615,-5.2188,0.000796,0.999204,-7.1353,0.000796,0.999204,-7.1353,1,488,201,201
hendrycks_math/test/000017,post_self,self,0.191933,0.808067,-1.4375,0.019179,0.980821,-3.9346,0.019179,0.980821,-3.9346,1,951,390,390
hendrycks_math/test/000018,post_self,self,0.437823,0.562177,-0.25,0.060363,0.939637,-2.7451,0.060363,0.939637,-2.7451,1,702,250,250
hendrycks_math/test/000019,post_self,self,0.245085,0.754915,-1.125,0.002212,0.997788,-6.1116,0.002212,0.997788,-6.1116,1,616,188,188
hendrycks_math/test/000020,post_defer,defer,0.468791,0.531209,-0.125,0.627038,0.372962,0.5195,0.627038,0.372962,0.5195,0,2993,1500,1500
hendrycks_math/test/000021,post_self,self,0.065605,0.934395,-2.6562,0.024008,0.975992,-3.7051,0.024008,0.975992,-3.7051,1,719,244,244
hendrycks_math/test/000022,post_self,self,0.067547,0.932453,-2.625,0.003693,0.996307,-5.5977,0.003693,0.996307,-5.5977,1,523,203,203
hendrycks_math/test/000023,post_self,self,0.025957,0.974043,-3.625,0.013809,0.986191,-4.2686,0.013809,0.986191,-4.2686,1,813,313,313
hendrycks_math/test/000024,post_self,self,0.003594,0.996406,-5.625,0.002921,0.997079,-5.833,0.002921,0.997079,-5.833,1,528,231,231
hendrycks_math/test/000025,post_self,self,0.028436,0.971564,-3.5312,0.009774,0.990226,-4.6182,0.009774,0.990226,-4.6182,1,1127,361,361
hendrycks_math/test/000026,post_self,self,0.021615,0.978385,-3.8125,0.007015,0.992985,-4.9526,0.007015,0.992985,-4.9526,1,968,461,461
hendrycks_math/test/000027,post_defer,defer,0.173288,0.826712,-1.5625,0.627038,0.372962,0.5195,0.627038,0.372962,0.5195,1,2113,871,871
hendrycks_math/test/000028,post_self,self,0.019124,0.980876,-3.9375,0.00314,0.99686,-5.7603,0.00314,0.99686,-5.7603,1,746,304,304
hendrycks_math/test/000029,post_self,self,0.201813,0.798187,-1.375,0.008368,0.991632,-4.7749,0.008368,0.991632,-4.7749,1,771,315,315
hendrycks_math/test/000030,post_self,self,0.300746,0.699254,-0.8438,0.150029,0.849971,-1.7344,0.150029,0.849971,-1.7344,1,1066,403,403
hendrycks_math/test/000031,post_self,self,0.025179,0.974821,-3.6562,0.000265,0.999735,-8.2369,0.000265,0.999735,-8.2369,1,1128,456,456
hendrycks_math/test/000032,post_self,self,0.029312,0.970688,-3.5,0.203075,0.796925,-1.3672,0.203075,0.796925,-1.3672,1,1734,702,702
hendrycks_math/test/000033,post_defer,defer,0.268941,0.731059,-1.0,0.825027,0.174973,1.5508,0.825027,0.174973,1.5508,0,2569,1307,1307
hendrycks_math/test/000034,post_defer,defer,0.129403,0.870597,-1.9062,0.948155,0.051845,2.9062,0.948155,0.051845,2.9062,0,3654,2048,2048
hendrycks_math/test/000035,post_self,self,0.016403,0.983597,-4.0938,0.000286,0.999714,-8.1586,0.000286,0.999714,-8.1586,1,539,227,227
hendrycks_math/test/000036,early_defer,defer,0.808067,0.191933,1.4375,0.352202,0.647798,-0.6094,0.808067,0.191933,1.4375,1,1192,472,472
hendrycks_math/test/000037,post_self,self,0.245085,0.754915,-1.125,0.007142,0.992858,-4.9346,0.007142,0.992858,-4.9346,1,1498,712,712
hendrycks_math/test/000038,post_self,self,0.037327,0.962673,-3.25,0.008577,0.991423,-4.75,0.008577,0.991423,-4.75,1,1330,505,505
hendrycks_math/test/000039,post_self,self,0.046034,0.953966,-3.0312,0.08472,0.91528,-2.3799,0.08472,0.91528,-2.3799,1,1160,646,646
hendrycks_math/test/000040,post_defer,defer,0.060087,0.939913,-2.75,0.983955,0.016045,4.1162,0.983955,0.016045,4.1162,0,981,336,336
hendrycks_math/test/000041,post_self,self,0.005385,0.994615,-5.2188,0.000269,0.999731,-8.2216,0.000269,0.999731,-8.2216,1,460,167,167
