task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,pred_answer,gold_answer,self_passed,reasoning_len,answer_len,actual_local_tokens
mmlu/all/test/000000,early_defer,defer,0.577495,0.422505,0.3125,0.063715,0.936285,-2.6875,0.577495,0.422505,0.3125,C,B,0,427,135,135
mmlu/all/test/000001,early_defer,defer,0.585101,0.414899,0.3438,0.247987,0.752013,-1.1094,0.585101,0.414899,0.3438,B,C,0,483,170,170
mmlu/all/test/000002,post_self,self,0.453262,0.546738,-0.1875,0.028871,0.971129,-3.5156,0.028871,0.971129,-3.5156,D,D,1,1276,545,545
mmlu/all/test/000003,early_defer,defer,0.531209,0.468791,0.125,0.92944,0.07056,2.5781,0.531209,0.468791,0.125,A,B,0,612,164,164
mmlu/all/test/000004,early_defer,defer,0.665411,0.334589,0.6875,0.992572,0.007428,4.895,0.665411,0.334589,0.6875,C,B,0,460,207,207
mmlu/all/test/000005,early_defer,defer,0.622459,0.377541,0.5,0.991981,0.008019,4.8179,0.622459,0.377541,0.5,B,A,0,871,225,225
mmlu/all/test/000006,early_defer,defer,0.577495,0.422505,0.3125,0.986752,0.013248,4.3105,0.577495,0.422505,0.3125,A,A,1,510,120,120
mmlu/all/test/000007,early_defer,defer,0.651355,0.348645,0.625,0.955486,0.044514,3.0664,0.651355,0.348645,0.625,A,D,0,392,89,89
mmlu/all/test/000008,early_defer,defer,0.52342,0.47658,0.0938,0.037047,0.962953,-3.2578,0.52342,0.47658,0.0938,C,B,0,300,88,88
mmlu/all/test/000009,post_defer,defer,0.327668,0.672332,-0.7188,0.94366,0.05634,2.8184,0.94366,0.05634,2.8184,C,C,1,1073,436,436
mmlu/all/test/000010,post_defer,defer,0.5,0.5,0.0,0.859192,0.140808,1.8086,0.859192,0.140808,1.8086,A,C,0,765,214,214
mmlu/all/test/000011,early_defer,defer,0.665411,0.334589,0.6875,0.998232,0.001768,6.3359,0.665411,0.334589,0.6875,A,C,0,650,215,215
mmlu/all/test/000012,early_defer,defer,0.562177,0.437823,0.25,0.987129,0.012871,4.3398,0.562177,0.437823,0.25,A,A,1,477,153,153
mmlu/all/test/000013,early_defer,defer,0.644225,0.355775,0.5938,0.988301,0.011699,4.4365,0.644225,0.355775,0.5938,A,C,0,269,113,113
mmlu/all/test/000014,post_defer,defer,0.399812,0.600188,-0.4062,0.980129,0.019871,3.8984,0.980129,0.019871,3.8984,A,C,0,766,260,260
mmlu/all/test/000015,early_defer,defer,0.629775,0.370225,0.5312,0.949949,0.050051,2.9434,0.629775,0.370225,0.5312,A,B,0,985,288,288
mmlu/all/test/000016,post_self,self,0.461017,0.538983,-0.1562,0.033337,0.966663,-3.3672,0.033337,0.966663,-3.3672,D,C,0,452,153,153
mmlu/all/test/000017,early_defer,defer,0.705785,0.294215,0.875,0.546738,0.453262,0.1875,0.705785,0.294215,0.875,A,C,0,276,163,163
mmlu/all/test/000018,post_defer,defer,0.27513,0.72487,-0.9688,0.991136,0.008864,4.7168,0.991136,0.008864,4.7168,C,D,0,1471,334,334
mmlu/all/test/000019,early_defer,defer,0.585101,0.414899,0.3438,0.994339,0.005661,5.1685,0.585101,0.414899,0.3438,A,A,1,449,123,123
mmlu/all/test/000020,early_defer,defer,0.592667,0.407333,0.375,0.965185,0.034815,3.3223,0.592667,0.407333,0.375,A,A,1,379,82,82
mmlu/all/test/000021,early_defer,defer,0.658418,0.341582,0.6562,0.993359,0.006641,5.0078,0.658418,0.341582,0.6562,D,A,0,438,184,184
mmlu/all/test/000022,early_defer,defer,0.569853,0.430147,0.2812,0.999568,0.000432,7.7456,0.569853,0.430147,0.2812,B,D,0,427,109,109
mmlu/all/test/000023,early_defer,defer,0.644225,0.355775,0.5938,0.988268,0.011732,4.4336,0.644225,0.355775,0.5938,C,D,0,490,111,111
mmlu/all/test/000024,early_defer,defer,0.569853,0.430147,0.2812,0.928409,0.071591,2.5625,0.569853,0.430147,0.2812,A,B,0,719,163,163
mmlu/all/test/000025,post_self,self,0.182426,0.817574,-1.5,0.003511,0.996489,-5.6484,0.003511,0.996489,-5.6484,C,C,1,811,195,195
mmlu/all/test/000026,post_defer,defer,0.453262,0.546738,-0.1875,0.997793,0.002207,6.1138,0.997793,0.002207,6.1138,A,C,0,441,114,114
mmlu/all/test/000027,early_defer,defer,0.531209,0.468791,0.125,0.362969,0.637031,-0.5625,0.531209,0.468791,0.125,A,B,0,689,197,197
mmlu/all/test/000028,early_defer,defer,0.562177,0.437823,0.25,0.994106,0.005894,5.1279,0.562177,0.437823,0.25,A,D,0,772,185,185
mmlu/all/test/000029,post_defer,defer,0.453262,0.546738,-0.1875,0.766294,0.233706,1.1875,0.766294,0.233706,1.1875,A,A,1,640,177,177
mmlu/all/test/000030,post_defer,defer,0.5,0.5,0.0,0.860134,0.139866,1.8164,0.860134,0.139866,1.8164,A,B,0,392,117,117
mmlu/all/test/000031,post_self,self,0.256832,0.743168,-1.0625,0.002323,0.997677,-6.0625,0.002323,0.997677,-6.0625,B,B,1,277,103,103
mmlu/all/test/000032,early_defer,defer,0.600188,0.399812,0.4062,0.997751,0.002249,6.0952,0.600188,0.399812,0.4062,A,A,1,264,67,67
mmlu/all/test/000033,post_self,self,0.47658,0.52342,-0.0938,0.029091,0.970909,-3.5078,0.029091,0.970909,-3.5078,C,C,1,231,92,92
mmlu/all/test/000034,early_defer,defer,0.592667,0.407333,0.375,0.960584,0.039416,3.1934,0.592667,0.407333,0.375,A,A,1,691,198,198
mmlu/all/test/000035,post_self,self,0.399812,0.600188,-0.4062,0.246533,0.753467,-1.1172,0.246533,0.753467,-1.1172,B,B,1,454,131,131
mmlu/all/test/000036,post_self,self,0.399812,0.600188,-0.4062,0.235108,0.764892,-1.1797,0.235108,0.764892,-1.1797,C,D,0,221,85,85
mmlu/all/test/000037,early_defer,defer,0.622459,0.377541,0.5,0.991314,0.008686,4.7373,0.622459,0.377541,0.5,B,B,1,512,144,144
mmlu/all/test/000038,post_defer,defer,0.437823,0.562177,-0.25,0.592667,0.407333,0.375,0.592667,0.407333,0.375,B,C,0,668,176,176
mmlu/all/test/000039,early_defer,defer,0.577495,0.422505,0.3125,0.035145,0.964855,-3.3125,0.577495,0.422505,0.3125,D,D,1,553,125,125
mmlu/all/test/000040,post_self,self,0.217338,0.782662,-1.2812,0.224055,0.775945,-1.2422,0.224055,0.775945,-1.2422,C,C,1,884,314,314
mmlu/all/test/000041,post_self,self,0.348645,0.651355,-0.625,0.001727,0.998273,-6.3594,0.001727,0.998273,-6.3594,B,A,0,323,91,91
mmlu/all/test/000042,early_defer,defer,0.607663,0.392337,0.4375,0.952574,0.047426,3.0,0.607663,0.392337,0.4375,A,B,0,671,186,186
mmlu/all/test/000043,early_defer,defer,0.585101,0.414899,0.3438,0.997184,0.002816,5.8696,0.585101,0.414899,0.3438,A,C,0,410,81,81
mmlu/all/test/000044,early_defer,defer,0.651355,0.348645,0.625,0.973993,0.026007,3.623,0.651355,0.348645,0.625,A,C,0,212,55,55
mmlu/all/test/000045,early_defer,defer,0.607663,0.392337,0.4375,0.991071,0.008929,4.7095,0.607663,0.392337,0.4375,B,C,0,643,155,155
mmlu/all/test/000046,early_defer,defer,0.585101,0.414899,0.3438,0.027585,0.972415,-3.5625,0.585101,0.414899,0.3438,D,B,0,660,142,142
mmlu/all/test/000047,early_defer,defer,0.562177,0.437823,0.25,0.164516,0.835484,-1.625,0.562177,0.437823,0.25,A,B,0,304,117,117
mmlu/all/test/000048,early_defer,defer,0.577495,0.422505,0.3125,0.975414,0.024586,3.6807,0.577495,0.422505,0.3125,A,C,0,425,108,108
mmlu/all/test/000049,early_defer,defer,0.651355,0.348645,0.625,0.81582,0.18418,1.4883,0.651355,0.348645,0.625,C,B,0,587,153,153
mmlu/all/test/000050,early_defer,defer,0.546738,0.453262,0.1875,0.985086,0.014914,4.1904,0.546738,0.453262,0.1875,A,D,0,850,198,198
mmlu/all/test/000051,early_defer,defer,0.507812,0.492188,0.0312,0.822759,0.177241,1.5352,0.507812,0.492188,0.0312,A,B,0,615,258,258
mmlu/all/test/000052,early_defer,defer,0.569853,0.430147,0.2812,0.826151,0.173849,1.5586,0.569853,0.430147,0.2812,C,A,0,654,249,249
mmlu/all/test/000053,early_defer,defer,0.562177,0.437823,0.25,0.981962,0.018038,3.9971,0.562177,0.437823,0.25,A,C,0,542,146,146
mmlu/all/test/000054,post_self,self,0.468791,0.531209,-0.125,0.008062,0.991938,-4.8125,0.008062,0.991938,-4.8125,B,B,1,300,77,77
mmlu/all/test/000055,early_defer,defer,0.562177,0.437823,0.25,0.978177,0.021823,3.8027,0.562177,0.437823,0.25,A,A,1,454,106,106
mmlu/all/test/000056,early_defer,defer,0.562177,0.437823,0.25,0.106691,0.893309,-2.125,0.562177,0.437823,0.25,D,D,1,799,239,239
mmlu/all/test/000057,post_self,self,0.407333,0.592667,-0.375,0.034359,0.965641,-3.3359,0.034359,0.965641,-3.3359,B,B,1,464,199,199
mmlu/all/test/000058,early_defer,defer,0.644225,0.355775,0.5938,0.983534,0.016466,4.0898,0.644225,0.355775,0.5938,A,A,1,568,148,148
mmlu/all/test/000059,early_defer,defer,0.569853,0.430147,0.2812,0.991844,0.008156,4.8008,0.569853,0.430147,0.2812,A,A,1,435,101,101
mmlu/all/test/000060,early_defer,defer,0.637031,0.362969,0.5625,0.969149,0.030851,3.4473,0.637031,0.362969,0.5625,A,D,0,852,188,188
mmlu/all/test/000061,early_defer,defer,0.55447,0.44553,0.2188,0.993288,0.006712,4.9971,0.55447,0.44553,0.2188,A,D,0,722,139,139
mmlu/all/test/000062,early_defer,defer,0.538983,0.461017,0.1562,0.977001,0.022999,3.749,0.538983,0.461017,0.1562,A,C,0,278,79,79
mmlu/all/test/000063,early_defer,defer,0.658418,0.341582,0.6562,0.622459,0.377541,0.5,0.658418,0.341582,0.6562,A,B,0,332,127,127
mmlu/all/test/000064,post_defer,defer,0.327668,0.672332,-0.7188,0.851459,0.148541,1.7461,0.851459,0.148541,1.7461,B,B,1,374,140,140
mmlu/all/test/000065,early_defer,defer,0.577495,0.422505,0.3125,0.996733,0.003267,5.7205,0.577495,0.422505,0.3125,B,C,0,762,156,156
mmlu/all/test/000066,early_defer,defer,0.600188,0.399812,0.4062,0.978794,0.021206,3.832,0.600188,0.399812,0.4062,A,D,0,674,147,147
mmlu/all/test/000067,early_defer,defer,0.637031,0.362969,0.5625,0.971129,0.028871,3.5156,0.637031,0.362969,0.5625,A,C,0,405,88,88
mmlu/all/test/000068,early_defer,defer,0.52342,0.47658,0.0938,0.979492,0.020508,3.8662,0.52342,0.47658,0.0938,A,A,1,779,320,320
mmlu/all/test/000069,early_defer,defer,0.607663,0.392337,0.4375,0.962214,0.037786,3.2373,0.607663,0.392337,0.4375,A,A,1,648,145,145
mmlu/all/test/000070,early_defer,defer,0.607663,0.392337,0.4375,0.99539,0.00461,5.375,0.607663,0.392337,0.4375,,D,0,3049,1025,1025
mmlu/all/test/000071,post_self,self,0.461017,0.538983,-0.1562,0.020023,0.979977,-3.8906,0.020023,0.979977,-3.8906,C,C,1,259,87,87
mmlu/all/test/000072,post_self,self,0.377541,0.622459,-0.5,0.07921,0.92079,-2.4531,0.07921,0.92079,-2.4531,C,D,0,821,326,326
mmlu/all/test/000073,early_defer,defer,0.55447,0.44553,0.2188,0.004332,0.995668,-5.4375,0.55447,0.44553,0.2188,B,B,1,439,130,130
mmlu/all/test/000074,early_defer,defer,0.55447,0.44553,0.2188,0.96859,0.03141,3.4287,0.55447,0.44553,0.2188,A,D,0,673,172,172
mmlu/all/test/000075,early_defer,defer,0.546738,0.453262,0.1875,0.90599,0.09401,2.2656,0.546738,0.453262,0.1875,A,B,0,286,111,111
mmlu/all/test/000076,early_defer,defer,0.569853,0.430147,0.2812,0.987005,0.012995,4.3301,0.569853,0.430147,0.2812,A,C,0,530,155,155
mmlu/all/test/000077,early_defer,defer,0.644225,0.355775,0.5938,0.01653,0.98347,-4.0859,0.644225,0.355775,0.5938,A,A,1,324,101,101
mmlu/all/test/000078,early_defer,defer,0.569853,0.430147,0.2812,0.99962,0.00038,7.875,0.569853,0.430147,0.2812,,D,0,1906,1024,1024
mmlu/all/test/000079,early_defer,defer,0.592667,0.407333,0.375,0.957991,0.042009,3.127,0.592667,0.407333,0.375,A,C,0,824,201,201
mmlu/all/test/000080,early_defer,defer,0.51562,0.48438,0.0625,0.994932,0.005068,5.2798,0.51562,0.48438,0.0625,A,B,0,555,157,157
