task_id,route,model_decision,first_p_defer,first_p_self,first_margin,post_p_defer,post_p_self,post_margin,p_defer,p_self,margin,pred_answer,gold_answer,self_passed,reasoning_len,answer_len,actual_local_tokens
mmlu/all/test/000000,post_self,self,0.407333,0.592667,-0.375,0.2227,0.7773,-1.25,0.2227,0.7773,-1.25,B,B,1,1293,494,494
mmlu/all/test/000001,early_defer,defer,0.754915,0.245085,1.125,0.930458,0.069542,2.5938,0.754915,0.245085,1.125,C,C,1,1586,488,488
mmlu/all/test/000002,early_defer,defer,0.705785,0.294215,0.875,0.407333,0.592667,-0.375,0.705785,0.294215,0.875,D,D,1,966,516,516
mmlu/all/test/000003,early_defer,defer,0.7773,0.2227,1.25,0.970688,0.029312,3.5,0.7773,0.2227,1.25,D,B,0,980,282,282
mmlu/all/test/000004,early_defer,defer,0.754915,0.245085,1.125,0.020332,0.979668,-3.875,0.754915,0.245085,1.125,B,B,1,1207,587,587
mmlu/all/test/000005,early_defer,defer,0.562177,0.437823,0.25,0.996176,0.003824,5.5625,0.562177,0.437823,0.25,B,A,0,987,238,238
mmlu/all/test/000006,early_defer,defer,0.651355,0.348645,0.625,0.031144,0.968856,-3.4375,0.651355,0.348645,0.625,C,A,0,1457,381,381
mmlu/all/test/000007,post_self,self,0.377541,0.622459,-0.5,0.042088,0.957912,-3.125,0.042088,0.957912,-3.125,C,D,0,991,307,307
mmlu/all/test/000008,early_defer,defer,0.562177,0.437823,0.25,0.006693,0.993307,-5.0,0.562177,0.437823,0.25,B,B,1,2106,773,773
mmlu/all/test/000009,early_defer,defer,0.665411,0.334589,0.6875,0.063715,0.936285,-2.6875,0.665411,0.334589,0.6875,C,C,1,1203,608,608
mmlu/all/test/000010,early_defer,defer,0.874077,0.125923,1.9375,0.182426,0.817574,-1.5,0.874077,0.125923,1.9375,A,C,0,1207,325,325
mmlu/all/test/000011,post_self,self,0.201813,0.798187,-1.375,0.000116,0.999884,-9.0625,0.000116,0.999884,-9.0625,C,C,1,984,370,370
mmlu/all/test/000012,early_defer,defer,0.705785,0.294215,0.875,0.979036,0.020964,3.8438,0.705785,0.294215,0.875,A,A,1,1368,538,538
mmlu/all/test/000013,early_defer,defer,0.7773,0.2227,1.25,0.999722,0.000278,8.1875,0.7773,0.2227,1.25,,C,0,1995,1025,1025
mmlu/all/test/000014,post_defer,defer,0.5,0.5,0.0,0.970688,0.029312,3.5,0.970688,0.029312,3.5,D,C,0,1667,528,528
mmlu/all/test/000015,early_defer,defer,0.692642,0.307358,0.8125,0.294215,0.705785,-0.875,0.692642,0.307358,0.8125,D,B,0,906,245,245
mmlu/all/test/000016,post_defer,defer,0.164516,0.835484,-1.625,0.962673,0.037327,3.25,0.962673,0.037327,3.25,C,C,1,530,231,231
mmlu/all/test/000017,early_defer,defer,0.731059,0.268941,1.0,0.880797,0.119203,2.0,0.731059,0.268941,1.0,C,C,1,692,244,244
mmlu/all/test/000018,post_self,self,0.075858,0.924142,-2.5,3.8e-05,0.999962,-10.1875,3.8e-05,0.999962,-10.1875,D,D,1,1163,311,311
mmlu/all/test/000019,early_defer,defer,0.754915,0.245085,1.125,0.268941,0.731059,-1.0,0.754915,0.245085,1.125,A,A,1,883,267,267
mmlu/all/test/000020,early_defer,defer,0.867036,0.132964,1.875,0.880797,0.119203,2.0,0.867036,0.132964,1.875,D,A,0,1374,341,341
mmlu/all/test/000021,early_defer,defer,0.798187,0.201813,1.375,0.164516,0.835484,-1.625,0.798187,0.201813,1.375,A,A,1,656,291,291
mmlu/all/test/000022,early_defer,defer,0.798187,0.201813,1.375,0.946597,0.053403,2.875,0.798187,0.201813,1.375,D,D,1,1054,303,303
mmlu/all/test/000023,early_defer,defer,0.7773,0.2227,1.25,0.025957,0.974043,-3.625,0.7773,0.2227,1.25,D,D,1,1887,673,673
mmlu/all/test/000024,early_defer,defer,0.731059,0.268941,1.0,0.989013,0.010987,4.5,0.731059,0.268941,1.0,B,B,1,1263,352,352
mmlu/all/test/000025,early_defer,defer,0.893309,0.106691,2.125,0.932453,0.067547,2.625,0.893309,0.106691,2.125,C,C,1,1888,530,530
mmlu/all/test/000026,post_self,self,0.148047,0.851953,-1.75,0.003173,0.996827,-5.75,0.003173,0.996827,-5.75,C,C,1,1511,496,496
mmlu/all/test/000027,early_defer,defer,0.562177,0.437823,0.25,0.904651,0.095349,2.25,0.562177,0.437823,0.25,D,B,0,1946,727,727
mmlu/all/test/000028,early_defer,defer,0.705785,0.294215,0.875,0.977023,0.022977,3.75,0.705785,0.294215,0.875,D,D,1,1145,327,327
mmlu/all/test/000029,early_defer,defer,0.679179,0.320821,0.75,0.119203,0.880797,-2.0,0.679179,0.320821,0.75,A,A,1,1028,248,248
mmlu/all/test/000030,early_defer,defer,0.731059,0.268941,1.0,0.622459,0.377541,0.5,0.731059,0.268941,1.0,A,B,0,898,242,242
mmlu/all/test/000031,post_self,self,0.148047,0.851953,-1.75,0.000116,0.999884,-9.0625,0.000116,0.999884,-9.0625,B,B,1,1731,630,630
mmlu/all/test/000032,early_defer,defer,0.622459,0.377541,0.5,0.007577,0.992423,-4.875,0.622459,0.377541,0.5,A,A,1,785,192,192
mmlu/all/test/000033,post_self,self,0.106691,0.893309,-2.125,0.000116,0.999884,-9.0625,0.000116,0.999884,-9.0625,C,C,1,1646,526,526
mmlu/all/test/000034,early_defer,defer,0.855851,0.144149,1.7812,0.99478,0.00522,5.25,0.855851,0.144149,1.7812,B,A,0,1146,331,331
mmlu/all/test/000035,post_self,self,0.468791,0.531209,-0.125,0.407333,0.592667,-0.375,0.407333,0.592667,-0.375,B,B,1,1788,681,681
mmlu/all/test/000036,post_self,self,0.407333,0.592667,-0.375,0.00181,0.99819,-6.3125,0.00181,0.99819,-6.3125,D,D,1,549,212,212
mmlu/all/test/000037,early_defer,defer,0.651355,0.348645,0.625,0.468791,0.531209,-0.125,0.651355,0.348645,0.625,A,B,0,1774,606,606
mmlu/all/test/000038,post_self,self,0.437823,0.562177,-0.25,0.016915,0.983085,-4.0625,0.016915,0.983085,-4.0625,C,C,1,916,466,466
mmlu/all/test/000039,early_defer,defer,0.592667,0.407333,0.375,0.977023,0.022977,3.75,0.592667,0.407333,0.375,D,D,1,743,180,180
mmlu/all/test/000040,post_self,self,0.437823,0.562177,-0.25,0.000755,0.999245,-7.1875,0.000755,0.999245,-7.1875,C,C,1,707,235,235
mmlu/all/test/000041,early_defer,defer,0.754915,0.245085,1.125,0.029312,0.970688,-3.5,0.754915,0.245085,1.125,B,A,0,1401,470,470
mmlu/all/test/000042,early_defer,defer,0.679179,0.320821,0.75,0.562177,0.437823,0.25,0.679179,0.320821,0.75,A,B,0,1985,622,622
mmlu/all/test/000043,early_defer,defer,0.679179,0.320821,0.75,0.957912,0.042088,3.125,0.679179,0.320821,0.75,A,C,0,923,235,235
mmlu/all/test/000044,post_defer,defer,0.468791,0.531209,-0.125,0.679179,0.320821,0.75,0.679179,0.320821,0.75,A,C,0,1480,522,522
mmlu/all/test/000045,post_defer,defer,0.164516,0.835484,-1.625,0.932453,0.067547,2.625,0.932453,0.067547,2.625,B,C,0,922,227,227
mmlu/all/test/000046,early_defer,defer,0.622459,0.377541,0.5,0.962673,0.037327,3.25,0.622459,0.377541,0.5,D,B,0,1630,461,461
mmlu/all/test/000047,early_defer,defer,0.622459,0.377541,0.5,0.007121,0.992879,-4.9375,0.622459,0.377541,0.5,B,B,1,1432,652,652
mmlu/all/test/000048,early_defer,defer,0.731059,0.268941,1.0,0.201813,0.798187,-1.375,0.731059,0.268941,1.0,A,C,0,1036,284,284
mmlu/all/test/000049,early_defer,defer,0.817574,0.182426,1.5,0.798187,0.201813,1.375,0.817574,0.182426,1.5,B,B,1,1712,653,653
mmlu/all/test/000050,early_defer,defer,0.798187,0.201813,1.375,0.867036,0.132964,1.875,0.798187,0.201813,1.375,D,D,1,673,169,169
mmlu/all/test/000051,early_defer,defer,0.679179,0.320821,0.75,0.060087,0.939913,-2.75,0.679179,0.320821,0.75,A,B,0,1448,673,673
mmlu/all/test/000052,early_defer,defer,0.817574,0.182426,1.5,0.970688,0.029312,3.5,0.817574,0.182426,1.5,B,A,0,1726,769,769
mmlu/all/test/000053,early_defer,defer,0.7773,0.2227,1.25,0.2227,0.7773,-1.25,0.7773,0.2227,1.25,A,C,0,1691,620,620
mmlu/all/test/000054,post_self,self,0.031144,0.968856,-3.4375,9e-05,0.99991,-9.3125,9e-05,0.99991,-9.3125,B,B,1,1536,492,492
mmlu/all/test/000055,early_defer,defer,0.651355,0.348645,0.625,0.201813,0.798187,-1.375,0.651355,0.348645,0.625,A,A,1,922,210,210
mmlu/all/test/000056,early_defer,defer,0.7773,0.2227,1.25,0.990292,0.009708,4.625,0.7773,0.2227,1.25,B,D,0,1112,313,313
mmlu/all/test/000057,post_defer,defer,0.468791,0.531209,-0.125,0.974043,0.025957,3.625,0.974043,0.025957,3.625,A,B,0,1395,606,606
mmlu/all/test/000058,early_defer,defer,0.817574,0.182426,1.5,0.377541,0.622459,-0.5,0.817574,0.182426,1.5,D,A,0,1917,641,641
mmlu/all/test/000059,early_defer,defer,0.754915,0.245085,1.125,0.7773,0.2227,1.25,0.754915,0.245085,1.125,D,A,0,1604,425,425
mmlu/all/test/000060,early_defer,defer,0.651355,0.348645,0.625,0.307358,0.692642,-0.8125,0.651355,0.348645,0.625,A,D,0,750,185,185
mmlu/all/test/000061,early_defer,defer,0.705785,0.294215,0.875,0.679179,0.320821,0.75,0.705785,0.294215,0.875,A,D,0,1929,551,551
mmlu/all/test/000062,early_defer,defer,0.874077,0.125923,1.9375,0.904651,0.095349,2.25,0.874077,0.125923,1.9375,D,C,0,1286,387,387
mmlu/all/test/000063,early_defer,defer,0.679179,0.320821,0.75,0.531209,0.468791,0.125,0.679179,0.320821,0.75,A,B,0,1870,655,655
mmlu/all/test/000064,post_self,self,0.320821,0.679179,-0.75,0.000296,0.999704,-8.125,0.000296,0.999704,-8.125,B,B,1,1436,488,488
mmlu/all/test/000065,early_defer,defer,0.867036,0.132964,1.875,0.119203,0.880797,-2.0,0.867036,0.132964,1.875,C,C,1,1174,242,242
mmlu/all/test/000066,early_defer,defer,0.731059,0.268941,1.0,0.936285,0.063715,2.6875,0.731059,0.268941,1.0,D,D,1,1051,300,300
mmlu/all/test/000067,early_defer,defer,0.731059,0.268941,1.0,0.969785,0.030215,3.4688,0.731059,0.268941,1.0,D,C,0,1430,371,371
mmlu/all/test/000068,early_defer,defer,0.914901,0.085099,2.375,0.000315,0.999685,-8.0625,0.914901,0.085099,2.375,A,A,1,701,321,321
mmlu/all/test/000069,early_defer,defer,0.562177,0.437823,0.25,0.851953,0.148047,1.75,0.562177,0.437823,0.25,A,A,1,1005,240,240
mmlu/all/test/000070,early_defer,defer,0.817574,0.182426,1.5,0.983085,0.016915,4.0625,0.817574,0.182426,1.5,C,D,0,1138,388,388
mmlu/all/test/000071,post_self,self,0.468791,0.531209,-0.125,0.025957,0.974043,-3.625,0.025957,0.974043,-3.625,B,C,0,2384,927,927
mmlu/all/test/000072,early_defer,defer,0.7773,0.2227,1.25,0.99371,0.00629,5.0625,0.7773,0.2227,1.25,D,D,1,946,392,392
mmlu/all/test/000073,early_defer,defer,0.754915,0.245085,1.125,0.893309,0.106691,2.125,0.754915,0.245085,1.125,C,B,0,1095,431,431
mmlu/all/test/000074,early_defer,defer,0.817574,0.182426,1.5,0.731059,0.268941,1.0,0.817574,0.182426,1.5,D,D,1,1132,312,312
mmlu/all/test/000075,early_defer,defer,0.835484,0.164516,1.625,0.294215,0.705785,-0.875,0.835484,0.164516,1.625,A,B,0,701,226,226
mmlu/all/test/000076,early_defer,defer,0.7773,0.2227,1.25,0.835484,0.164516,1.625,0.7773,0.2227,1.25,A,C,0,1196,388,388
