task_id,route,model_decision,model_decision_raw,valid_format,p_defer,p_self,score,margin,logp_self,logp_defer,self_passed,prediction,reference,expert_passed,expert_available,expert_has_answer,answer_len
mmlu/all/test/000000,post_self,self,self,1,0.14817041344298693,0.8518295865570131,0.8518295865570131,-1.7490234375,-0.1650390625,-1.9140625,1,B,B,,0,0,9
mmlu/all/test/000001,post_self,self,defer,1,0.29502676635499137,0.7049732336450086,0.7049732336450086,-0.87109375,-0.35546875,-1.2265625,0,A,C,,0,0,10
mmlu/all/test/000002,post_self,self,defer,1,0.37754066879814546,0.6224593312018545,0.6224593312018545,-0.5,-0.48046875,-0.98046875,1,D,D,,0,0,11
mmlu/all/test/000003,post_self,self,defer,1,0.2689414213699951,0.7310585786300049,0.7310585786300049,-1.0,-0.3203125,-1.3203125,0,A,B,,0,0,18
mmlu/all/test/000004,post_self,self,self,1,0.07626996618067049,0.9237300338193295,0.9237300338193295,-2.494140625,-0.083984375,-2.578125,1,B,B,,0,0,28
mmlu/all/test/000005,post_defer,defer,defer,1,0.5,0.5,0.5,0.0,-0.69921875,-0.69921875,1,A,A,,0,0,18
mmlu/all/test/000006,post_self,self,self,1,0.14817041344298693,0.8518295865570131,0.8518295865570131,-1.7490234375,-0.1650390625,-1.9140625,1,A,A,,0,0,18
mmlu/all/test/000007,post_self,self,defer,1,0.37754066879814546,0.6224593312018545,0.6224593312018545,-0.5,-0.48046875,-0.98046875,0,A,D,,0,0,18
mmlu/all/test/000008,post_self,self,self,1,0.11992252200191786,0.8800774779980821,0.8800774779980821,-1.9931640625,-0.1318359375,-2.125,1,B,B,,0,0,9
mmlu/all/test/000009,post_self,self,self,1,0.033281795200473724,0.9667182047995263,0.9667182047995263,-3.368896484375,-0.037353515625,-3.40625,1,C,C,,0,0,11
mmlu/all/test/000010,post_self,self,self,1,0.08506103649811757,0.9149389635018824,0.9149389635018824,-2.37548828125,-0.09326171875,-2.46875,0,A,C,,0,0,18
mmlu/all/test/000011,post_self,self,self,1,0.37708178707321444,0.6229182129267856,0.6229182129267856,-0.501953125,-0.482421875,-0.984375,0,A,C,,0,0,22
mmlu/all/test/000012,post_self,self,self,1,0.0950550454337186,0.9049449545662814,0.9049449545662814,-2.25341796875,-0.10595703125,-2.359375,0,C,A,,0,0,9
mmlu/all/test/000013,post_self,self,defer,1,0.2685575870290748,0.7314424129709252,0.7314424129709252,-1.001953125,-0.318359375,-1.3203125,0,B,C,,0,0,29
mmlu/all/test/000014,post_defer,defer,defer,1,0.9149009549929797,0.08509904500702026,0.08509904500702026,2.375,-2.46875,-0.09375,0,D,C,,0,0,11
mmlu/all/test/000015,post_self,self,defer,1,0.34820172806651245,0.6517982719334876,0.6517982719334876,-0.626953125,-0.435546875,-1.0625,0,A,B,,0,0,18
mmlu/all/test/000016,post_self,self,self,1,0.11992252200191786,0.8800774779980821,0.8800774779980821,-1.9931640625,-0.1318359375,-2.125,0,D,C,,0,0,10
mmlu/all/test/000017,post_defer,defer,defer,1,0.6513548646660542,0.3486451353339458,0.3486451353339458,0.625,-1.0625,-0.4375,0,B,C,,0,0,13
mmlu/all/test/000018,post_self,self,self,1,0.04768019635596767,0.9523198036440323,0.9523198036440323,-2.994384765625,-0.052490234375,-3.046875,1,D,D,,0,0,27
mmlu/all/test/000019,post_self,self,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.58203125,-0.83203125,1,A,A,,0,0,18
mmlu/all/test/000020,post_self,self,defer,1,0.46879062662624377,0.5312093733737562,0.5312093733737562,-0.125,-0.640625,-0.765625,1,A,A,,0,0,18
mmlu/all/test/000021,post_self,self,defer,1,0.22270013882530884,0.7772998611746912,0.7772998611746912,-1.25,-0.2578125,-1.5078125,0,B,A,,0,0,21
mmlu/all/test/000022,post_defer,defer,defer,1,0.9771074295167625,0.02289257048323745,0.02289257048323745,3.7537841796875,-3.78125,-0.0274658203125,0,A,D,,0,0,18
mmlu/all/test/000023,post_self,self,defer,1,0.04768019635596767,0.9523198036440323,0.9523198036440323,-2.994384765625,-0.052490234375,-3.046875,1,D,D,,0,0,21
mmlu/all/test/000024,post_self,self,defer,1,0.22270013882530884,0.7772998611746912,0.7772998611746912,-1.25,-0.2578125,-1.5078125,0,A,B,,0,0,18
mmlu/all/test/000025,post_self,self,self,1,0.020179731818008338,0.9798202681819916,0.9798202681819916,-3.8826904296875,-0.0235595703125,-3.90625,1,C,C,,0,0,35
mmlu/all/test/000026,post_defer,defer,defer,1,0.9049449545662814,0.09505504543371857,0.09505504543371857,2.25341796875,-2.359375,-0.10595703125,0,A,C,,0,0,18
mmlu/all/test/000027,post_defer,defer,defer,1,0.6517982719334875,0.3482017280665125,0.3482017280665125,0.626953125,-1.0625,-0.435546875,0,A,B,,0,0,22
mmlu/all/test/000028,post_self,self,self,1,0.13386748775351784,0.8661325122464821,0.8661325122464821,-1.8671875,-0.1484375,-2.015625,0,A,D,,0,0,18
mmlu/all/test/000029,post_self,self,self,1,0.11992252200191786,0.8800774779980821,0.8800774779980821,-1.9931640625,-0.1318359375,-2.125,1,A,A,,0,0,18
mmlu/all/test/000030,post_self,self,self,1,0.060307639975069216,0.9396923600249307,0.9396923600249307,-2.74609375,-0.06640625,-2.8125,0,A,B,,0,0,18
mmlu/all/test/000031,post_self,self,self,1,0.07630437410875249,0.9236956258912475,0.9236956258912475,-2.49365234375,-0.08447265625,-2.578125,1,B,B,,0,0,21
mmlu/all/test/000032,post_self,self,self,1,0.2689414213699951,0.7310585786300049,0.7310585786300049,-1.0,-0.3203125,-1.3203125,1,A,A,,0,0,18
mmlu/all/test/000033,post_self,self,self,1,0.2013417068381109,0.7986582931618891,0.7986582931618891,-1.3779296875,-0.2314453125,-1.609375,1,C,C,,0,0,48
mmlu/all/test/000034,post_defer,defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,1,A,A,,0,0,18
mmlu/all/test/000035,post_self,self,self,1,0.08506103649811757,0.9149389635018824,0.9149389635018824,-2.37548828125,-0.09326171875,-2.46875,1,B,B,,0,0,9
mmlu/all/test/000036,post_defer,defer,defer,1,0.7986582931618891,0.20134170683811092,0.20134170683811092,1.3779296875,-1.609375,-0.2314453125,0,A,D,,0,0,10
mmlu/all/test/000037,post_defer,defer,defer,1,0.9467076361502282,0.05329236384977176,0.05329236384977176,2.877197265625,-2.9375,-0.060302734375,0,A,B,,0,0,22
mmlu/all/test/000038,post_self,self,self,1,0.3779997700846973,0.6220002299153027,0.6220002299153027,-0.498046875,-0.482421875,-0.98046875,0,A,C,,0,0,9
mmlu/all/test/000039,post_defer,defer,defer,1,0.9467076361502282,0.05329236384977176,0.05329236384977176,2.877197265625,-2.9375,-0.060302734375,0,A,D,,0,0,18
mmlu/all/test/000040,post_self,self,self,1,0.04769128322359843,0.9523087167764016,0.9523087167764016,-2.994140625,-0.052734375,-3.046875,0,A,C,,0,0,9
mmlu/all/test/000041,post_self,self,self,1,0.18300885002394832,0.8169911499760517,0.8169911499760517,-1.49609375,-0.20703125,-1.703125,0,B,A,,0,0,9
mmlu/all/test/000042,post_self,self,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.58203125,-0.83203125,0,A,B,,0,0,18
mmlu/all/test/000043,post_self,self,self,1,0.24472382910998208,0.755276170890018,0.755276170890018,-1.126953125,-0.287109375,-1.4140625,0,A,C,,0,0,18
mmlu/all/test/000044,post_defer,defer,defer,1,0.755276170890018,0.24472382910998203,0.24472382910998203,1.126953125,-1.4140625,-0.287109375,0,A,C,,0,0,18
