task_id,route,model_decision,valid_format,p_defer,p_self,score,margin,logp_self,logp_defer,self_passed,prediction,reference,expert_passed,expert_available,expert_has_answer,answer_len
mmlu/all/test/000000,post_defer,defer,1,0.14817041344298693,0.8518295865570131,0.8518295865570131,-1.7490234375,-0.1728515625,-1.921875,0,D,B,,0,0,9
mmlu/all/test/000001,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,0,B,C,,0,0,10
mmlu/all/test/000002,post_defer,defer,1,0.6224593312018546,0.3775406687981454,0.3775406687981454,0.5,-0.984375,-0.484375,1,D,D,,0,0,11
mmlu/all/test/000003,post_defer,defer,1,0.6800292550948656,0.31997074490513444,0.31997074490513444,0.75390625,-1.1484375,-0.39453125,0,C,B,,0,0,19
mmlu/all/test/000004,post_defer,defer,1,0.32082130082460697,0.679178699175393,0.679178699175393,-0.75,-0.421875,-1.171875,1,B,B,,0,0,21
mmlu/all/test/000005,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,0,C,A,,0,0,19
mmlu/all/test/000006,post_defer,defer,1,0.7769615827831184,0.22303841721688156,0.22303841721688156,1.248046875,-1.5078125,-0.259765625,0,C,A,,0,0,19
mmlu/all/test/000007,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,0,C,D,,0,0,19
mmlu/all/test/000008,post_defer,defer,1,0.5621765008857981,0.43782349911420193,0.43782349911420193,0.25,-0.8359375,-0.5859375,1,B,B,,0,0,9
mmlu/all/test/000009,post_defer,defer,1,0.679178699175393,0.320821300824607,0.320821300824607,0.75,-1.1484375,-0.3984375,1,C,C,,0,0,11
mmlu/all/test/000010,post_defer,defer,1,0.8181563569443524,0.1818436430556476,0.1818436430556476,1.50390625,-1.7109375,-0.20703125,1,C,C,,0,0,19
mmlu/all/test/000011,post_defer,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.59375,-0.84375,1,C,C,,0,0,41
mmlu/all/test/000012,post_defer,defer,1,0.5,0.5,0.5,0.0,-0.70703125,-0.70703125,0,D,A,,0,0,11
mmlu/all/test/000013,post_defer,defer,1,0.1068768848651029,0.8931231151348971,0.8931231151348971,-2.123046875,-0.298828125,-2.421875,1,C,C,,0,0,29
mmlu/all/test/000014,post_defer,defer,1,0.5,0.5,0.5,0.0,-0.70703125,-0.70703125,1,C,C,,0,0,10
mmlu/all/test/000015,post_defer,defer,1,0.3203958736819564,0.6796041263180437,0.6796041263180437,-0.751953125,-0.396484375,-1.1484375,0,D,B,,0,0,19
mmlu/all/test/000016,post_self,self,1,0.04713992968536253,0.9528600703146375,0.9528600703146375,-3.00634765625,-0.07177734375,-3.078125,0,D,C,,0,0,10
mmlu/all/test/000017,post_defer,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.58984375,-0.83984375,1,C,C,,0,0,13
mmlu/all/test/000018,post_self,self,1,0.0294654415752889,0.9705345584247111,0.9705345584247111,-3.49462890625,-0.06787109375,-3.5625,1,D,D,,0,0,27
mmlu/all/test/000019,post_defer,defer,1,0.8181563569443524,0.1818436430556476,0.1818436430556476,1.50390625,-1.7109375,-0.20703125,0,C,A,,0,0,19
mmlu/all/test/000020,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,0,C,A,,0,0,19
mmlu/all/test/000021,post_defer,defer,1,0.6229182129267856,0.3770817870732144,0.3770817870732144,0.501953125,-1.0,-0.498046875,0,B,A,,0,0,21
mmlu/all/test/000022,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,0,C,D,,0,0,19
mmlu/all/test/000023,post_defer,defer,1,0.18286288290610314,0.8171371170938968,0.8171371170938968,-1.4970703125,-0.2216796875,-1.71875,1,D,D,,0,0,21
mmlu/all/test/000024,post_defer,defer,1,0.8180110222179114,0.18198897778208856,0.18198897778208856,1.5029296875,-1.7109375,-0.2080078125,0,C,B,,0,0,19
mmlu/all/test/000025,post_defer,defer,1,0.5,0.5,0.5,0.0,-1.328125,-1.328125,0,A,C,,0,0,16
mmlu/all/test/000026,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,1,C,C,,0,0,19
mmlu/all/test/000027,post_defer,defer,1,0.6800292550948656,0.31997074490513444,0.31997074490513444,0.75390625,-1.15625,-0.40234375,1,B,B,,0,0,22
mmlu/all/test/000028,post_defer,defer,1,0.6224593312018546,0.3775406687981454,0.3775406687981454,0.5,-0.98046875,-0.48046875,1,D,D,,0,0,19
mmlu/all/test/000029,post_defer,defer,1,0.7769615827831184,0.22303841721688156,0.22303841721688156,1.248046875,-1.5078125,-0.259765625,0,C,A,,0,0,19
mmlu/all/test/000030,post_defer,defer,1,0.7769615827831184,0.22303841721688156,0.22303841721688156,1.248046875,-1.5078125,-0.259765625,0,C,B,,0,0,19
mmlu/all/test/000031,post_defer,defer,1,0.06044614461322376,0.9395538553867763,0.9395538553867763,-2.74365234375,-0.08447265625,-2.828125,1,B,B,,0,0,21
mmlu/all/test/000032,post_defer,defer,1,0.8180110222179114,0.18198897778208856,0.18198897778208856,1.5029296875,-1.7109375,-0.2080078125,0,C,A,,0,0,19
mmlu/all/test/000033,post_defer,defer,1,0.03715182619419953,0.9628481738058005,0.9628481738058005,-3.2548828125,-0.1201171875,-3.375,1,C,C,,0,0,48
mmlu/all/test/000034,post_defer,defer,1,0.6800292550948656,0.31997074490513444,0.31997074490513444,0.75390625,-1.1484375,-0.39453125,0,C,A,,0,0,19
mmlu/all/test/000035,post_defer,defer,1,0.5621765008857981,0.43782349911420193,0.43782349911420193,0.25,-0.8359375,-0.5859375,1,B,B,,0,0,9
mmlu/all/test/000036,post_defer,defer,1,0.6224593312018546,0.3775406687981454,0.3775406687981454,0.5,-0.984375,-0.484375,1,D,D,,0,0,10
mmlu/all/test/000037,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.515625,-0.265625,0,A,B,,0,0,22
mmlu/all/test/000038,post_defer,defer,1,0.5621765008857981,0.43782349911420193,0.43782349911420193,0.25,-0.8359375,-0.5859375,1,C,C,,0,0,9
mmlu/all/test/000039,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,0,C,D,,0,0,19
mmlu/all/test/000040,post_defer,defer,1,0.017848738449988986,0.982151261550011,0.982151261550011,-4.0078125,-1.6796875,-5.6875,1,C,C,,0,0,10
mmlu/all/test/000041,post_defer,defer,1,0.679178699175393,0.320821300824607,0.320821300824607,0.75,-1.1640625,-0.4140625,0,C,A,,0,0,28
mmlu/all/test/000042,post_defer,defer,1,0.6229182129267856,0.3770817870732144,0.3770817870732144,0.501953125,-0.984375,-0.482421875,0,C,B,,0,0,19
mmlu/all/test/000043,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,1,C,C,,0,0,19
mmlu/all/test/000044,post_defer,defer,1,0.6224593312018546,0.3775406687981454,0.3775406687981454,0.5,-0.984375,-0.484375,1,C,C,,0,0,19
mmlu/all/test/000045,post_defer,defer,1,0.5621765008857981,0.43782349911420193,0.43782349911420193,0.25,-0.8359375,-0.5859375,1,C,C,,0,0,19
mmlu/all/test/000046,post_defer,defer,1,0.6783269517867622,0.32167304821323783,0.32167304821323783,0.74609375,-1.140625,-0.39453125,0,C,B,,0,0,19
mmlu/all/test/000047,post_defer,defer,1,0.3203958736819564,0.6796041263180437,0.6796041263180437,-0.751953125,-0.404296875,-1.15625,1,B,B,,0,0,9
mmlu/all/test/000048,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,1,C,C,,0,0,19
mmlu/all/test/000049,post_defer,defer,1,0.776622938216557,0.22337706178344297,0.22337706178344297,1.24609375,-1.5078125,-0.26171875,1,B,B,,0,0,11
mmlu/all/test/000050,post_defer,defer,1,0.7772998611746911,0.22270013882530892,0.22270013882530892,1.25,-1.5078125,-0.2578125,0,C,D,,0,0,19
mmlu/all/test/000051,post_defer,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.58984375,-0.83984375,1,B,B,,0,0,9
mmlu/all/test/000052,post_defer,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.5859375,-0.8359375,0,D,A,,0,0,9
mmlu/all/test/000053,post_defer,defer,1,0.8181563569443524,0.1818436430556476,0.1818436430556476,1.50390625,-1.7109375,-0.20703125,1,C,C,,0,0,19
mmlu/all/test/000054,post_defer,defer,1,0.07575555281100092,0.9242444471889991,0.9242444471889991,-2.50146484375,-0.09228515625,-2.59375,1,B,B,,0,0,9
mmlu/all/test/000055,post_defer,defer,1,0.7310585786300049,0.2689414213699951,0.2689414213699951,1.0,-1.3203125,-0.3203125,0,C,A,,0,0,19
mmlu/all/test/000056,post_defer,defer,1,0.5621765008857981,0.43782349911420193,0.43782349911420193,0.25,-0.83203125,-0.58203125,1,D,D,,0,0,19
mmlu/all/test/000057,post_defer,defer,1,0.5,0.5,0.5,0.0,-0.703125,-0.703125,0,C,B,,0,0,9
mmlu/all/test/000058,post_defer,defer,1,0.8181563569443524,0.1818436430556476,0.1818436430556476,1.50390625,-1.7109375,-0.20703125,0,C,A,,0,0,19
mmlu/all/test/000059,post_defer,defer,1,0.7769615827831184,0.22303841721688156,0.22303841721688156,1.248046875,-1.5078125,-0.259765625,0,C,A,,0,0,19
